0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng|5|country_rus|6|latitude|7|longitude
ADQ|ADQ|||Kodiak Airport|Kodiak Airport|||Kodiak|Kodiak|США|США|57.749968|57.749968|-152.493855|-152.493855
ADR|ADR|||Andrews|Andrews|||Andrews|Andrews|США|США|33.451700|33.451700|-79.526176|-79.526176
ADS|ADS|||Addison Airport|Addison Airport|Даллас|Даллас|Dallas|Dallas|США|США|32.968556|32.968556|-96.836443|-96.836443
ADT|ADT|Ада|Ада|Ada|Ada|Ада|Ада|Ada|Ada|США|США|34.804262|34.804262|-96.671199|-96.671199
ADU|ADU|||Ardabil|Ardabil|||Ardabil|Ardabil|Иран|Иран|38.325678|38.325678|48.424356|48.424356
ADV|ADV|Эндовер|Эндовер|Andover|Andover|Эндовер|Эндовер|Andover|Andover|Великобритания|Великобритания|11.402500|11.402500|26.118333|26.118333
ADW|ADW|||Andrews AFB|Andrews AFB|||Camp Springs|Camp Springs|США|США|38.810826|38.810826|-76.867045|-76.867045
ADX|ADX|||Leuchars|Leuchars|||St Andrews|St Andrews|Великобритания|Великобритания|56.372889|56.372889|-2.868444|-2.868444
ADY|ADY|Оллдейз|Оллдейз|Alldays|Alldays|Оллдейз|Оллдейз|Alldays|Alldays|ЮАР|ЮАР|-22.679016|-22.679016|29.055517|29.055517
ADZ|ADZ|Остров Сан Андрес|Остров Сан Андрес|San Andres Island|San Andres Island|Остров Сан Андрес|Остров Сан Андрес|San Andres Island|San Andres Island|Колумбия|Колумбия|12.583683|12.583683|-81.710919|-81.710919
AEA|AEA|Абемама-Атолл|Абемама-Атолл|Abemama Atoll|Abemama Atoll|Абемама-Атолл|Абемама-Атолл|Abemama Atoll|Abemama Atoll|Кирибати|Кирибати|0.490833|0.490833|173.828611|173.828611
AED|AED|||Aleneva|Aleneva|||Aleneva|Aleneva|США|США|58.03333333|58.03333333|-152.9|-152.9
AEG|AEG|Эк-Годан|Эк-Годан|Aek Godang|Aek Godang|Эк-Годан|Эк-Годан|Aek Godang|Aek Godang|Индонезия|Индонезия|1.400103|1.400103|99.430453|99.430453
AEH|AEH|||Abecher|Abecher|||Abecher|Abecher|Чад|Чад|13.847000|13.847000|20.844333|20.844333
AEI|AEI|Альгесирас|Альгесирас|Algeciras|Algeciras|Альгесирас|Альгесирас|Algeciras|Algeciras|Испания|Испания|0|0|0|0
AEK|AEK|Асеки|Асеки|Aseki|Aseki|Асеки|Асеки|Aseki|Aseki|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-7.350|-7.350|146.183|146.183
AEL|AEL|Альберт Ли|Альберт Ли|Albert Lea|Albert Lea|Альберт Ли|Альберт Ли|Albert Lea|Albert Lea|США|США|43.681314|43.681314|-93.368147|-93.368147
AEO|AEO|||Aioun El Atrouss|Aioun El Atrouss|||Aioun El Atrouss|Aioun El Atrouss|Мавритания|Мавритания|16.711294|16.711294|-9.637882|-9.637882
AEP|AEP|||Arpt. Jorge Newbery|Arpt. Jorge Newbery|Буэнос-Айрес|Буэнос-Айрес|Buenos Aires|Buenos Aires|Аргентина|Аргентина|-34.559721|-34.559721|-58.414999|-58.414999
AER|AER|Адлер - Сочи|Адлер - Сочи|Adler - Sochi|Adler - Sochi|Адлер|Адлер|Adler|Adler|Россия|Россия|43.444444|43.444444|39.946944|39.946944
AES|AES|Вигра|Вигра|Vigra|Vigra|||Aalesund|Aalesund|Норвегия|Норвегия|62.560372|62.560372|6.110164|6.110164
AET|AET|||Allakaket|Allakaket|||Allakaket|Allakaket|США|США|66.551833|66.551833|-152.622166|-152.622166
AEU|AEU|||Abu Musa|Abu Musa|||Abu Musa|Abu Musa|Иран|Иран|25.875742|25.875742|55.032994|55.032994
AEX|AEX|Александрия международный|Александрия международный|Alexandria International|Alexandria International|||Alexandria, LA|Alexandria, LA|США|США|31.327372|31.327372|-92.548555|-92.548555
AEY|AEY|Акурейри|Акурейри|Akureyri|Akureyri|Акурейри|Акурейри|Akureyri|Akureyri|Исландия|Исландия|65.658611|65.658611|-18.072221|-18.072221
AFA|AFA|Сан-Рафаэль|Сан-Рафаэль|San Rafael|San Rafael|Сан-Рафаэль|Сан-Рафаэль|San Rafael|San Rafael|Аргентина|Аргентина|-34.588314|-34.588314|-68.403854|-68.403854
AFD|AFD|Порт Альфред|Порт Альфред|Port Alfred|Port Alfred|Порт Альфред|Порт Альфред|Port Alfred|Port Alfred|ЮАР|ЮАР|-33.554167|-33.554167|26.879722|26.879722
AFF|AFF|||USAF Academy Airstrip|USAF Academy Airstrip|Колорадо Спрингз|Колорадо Спрингз|Colorado Springs|Colorado Springs|США|США|38.973391|38.973391|-104.820032|-104.820032
AFI|AFI|Амалфи|Амалфи|Amalfi|Amalfi|Амалфи|Амалфи|Amalfi|Amalfi|Колумбия|Колумбия|6.916667|6.916667|-75.066666|-75.066666
AFK|AFK|||Kondavattavan Tank|Kondavattavan Tank|||Ampara|Ampara|Шри-Ланка|Шри-Ланка|40.605444|40.605444|-95.867750|-95.867750
AFL|AFL|Алта-Флореста|Алта-Флореста|Alta Floresta|Alta Floresta|Алта-Флореста|Алта-Флореста|Alta Floresta|Alta Floresta|Бразилия|Бразилия|-9.866091|-9.866091|-56.106205|-56.106205
AFN|AFN|||Municipal|Municipal|||Jaffrey|Jaffrey|США|США|42.805134|42.805134|-72.003022|-72.003022
AFO|AFO|||Municipal|Municipal|Афтон|Афтон|Afton|Afton|США|США|42.708771|42.708771|-110.942170|-110.942170
